log_path,dataset,seed,n_hid,n_layers,s_layers,lr,difflr,reg,steps,noise_schedule,noise_scale,noise_min,noise_max,reweight,sampling_steps,sampling_noise,eval_only,checkpoint,save_name,model_dir,topk,best_recall,best_ndcg,avg_train_time_s,n_train_epochs_timed,avg_test_time_s,n_test_calls_timed
History\epinions\sensitivity\lr\0.005\sens_lr_0.005.console.log,epinions,2023,64,2,2,0.005,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,sens_lr_0.005,Model/epinions/sensitivity/lr/0.005/,20,0.040945,0.029259,15.8966,150,84.1702,30
History\epinions\sensitivity\n_hid\128\sens_n_hid_128.console.log,epinions,2023,128,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_128,Model/epinions/sensitivity/n_hid/128/,20,0.047562,0.034973,7.9569,150,57.5517,30
History\epinions\sensitivity\n_hid\256\sens_n_hid_256.console.log,epinions,2023,256,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_256,Model/epinions/sensitivity/n_hid/256/,20,0.048244,0.035446,15.0058,150,98.6542,30
History\epinions\sensitivity\n_hid\32\sens_n_hid_32.console.log,epinions,2023,32,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_32,Model/epinions/sensitivity/n_hid/32/,20,0.040937,0.030598,4.2249,150,59.0526,30
History\epinions\sensitivity\n_hid\64\sens_n_hid_64.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_64,Model/epinions/sensitivity/n_hid/64/,20,0.045298,0.033821,9.4776,150,59.0237,30
History\epinions\sensitivity\noise_scale\0.01\sens_noise_scale_0.01.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,200,linear-var,0.01,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_noise_scale_0.01,Model/epinions/sensitivity/noise_scale/0.01/,20,0.043180,0.031800,9.0198,150,57.3866,30
History\epinions\sensitivity\noise_scale\0.05\sens_noise_scale_0.05.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,200,linear-var,0.05,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_noise_scale_0.05,Model/epinions/sensitivity/noise_scale/0.05/,20,0.044917,0.033576,7.9536,150,613.4456,30
History\epinions\sensitivity\noise_scale\0.1\sens_noise_scale_0.1.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_noise_scale_0.1,Model/epinions/sensitivity/noise_scale/0.1/,20,0.045183,0.033742,10.3227,150,58.1184,30
History\epinions\sensitivity\noise_scale\0.2\sens_noise_scale_0.2.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,200,linear-var,0.2,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_noise_scale_0.2,Model/epinions/sensitivity/noise_scale/0.2/,20,0.045263,0.033539,9.5901,150,57.5220,30
History\epinions\sensitivity\s_layers\1\sens_s_layers_1.console.log,epinions,2023,64,2,1,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,sens_s_layers_1,Model/epinions/sensitivity/s_layers/1/,20,0.044677,0.033166,9.3175,150,60.8680,30
